[Mourad\155\Foam\Open\BDS01852.txt]
1200 samples
60 Markov chains

__________________________________________________________________________________________
[Mourad\155\Foam\Open\BDS01853.txt]
1200 samples
60 Markov chains

(1,3)(1,2)(1,2)(1,4)(2,7)(2,6)(1,6)(1,5)(1,3)(1,3)(1,1)(1,2)(1,3)(1,4)(1,6)(2,9)(3,9)(2,6)(2,7)(3,9)(2,8)
(2,8)(1,7)(1,6)(1,4)(1,4)(1,3)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,3)(1,5)(1,4)(1,1)(1,2)(1,3)
(1,3)(1,3)(1,3)(1,2)(1,2)(1,5)(1,4)(1,3)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)
(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,4)(1,5)(2,5)(1,4)(1,1)(1,2)(1,4)(1,4)(1,3)(1,4)(2,6)(3,5)(4,4)(3,4)(3,3)
(3,3)(2,3)(3,4)(4,7)(3,9)(1,7)(1,4)(1,2)(1,3)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,5)(2,7)(2,7)(2,5)(1,4)
(1,4)(1,1)(1,2)(1,3)(1,2)(1,3)(1,4)(1,4)(1,3)(2,4)(1,3)(1,2)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,4)(1,3)(1,3)(1,3)(1,4)(1,3)(1,1)
(1,1)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,3)(1,1)(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,5)(1,5)(1,4)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)
(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)
(1,3)(1,4)(1,4)(1,3)(1,3)(1,3)(1,4)(1,3)(1,4)(1,4)(1,4)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,4)(1,2)(1,2)
