[Mourad\145\Firm\Closed\BDS01738.txt]
1200 samples
60 Markov chains

(2,4)(2,4)(1,4)(1,3)(1,1)(1,1)(1,2)(1,1)(1,2)(1,1)(1,2)(1,2)(1,2)(1,4)(1,2)(1,3)(1,2)(1,2)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,3)(1,3)(1,2)(1,3)(1,4)(1,3)(1,4)(1,3)(1,2)(1,3)(1,3)(1,4)(1,4)(1,2)(1,5)(1,6)(1,9)(1,9)(1,8)
(1,8)(1,4)(1,2)(1,1)(1,2)(1,4)(1,3)(1,2)(2,3)(1,2)(1,2)(1,3)(1,1)(1,3)(1,4)(0,6)(1,4)(1,3)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,3)(2,4)(2,3)(2,3)(2,4)(1,4)(1,3)(1,2)(1,1)
(1,1)(1,2)(1,5)(2,4)(2,6)(2,6)(1,5)(1,4)(1,2)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,3)(1,3)(2,4)(2,3)(3,3)(1,1)
(1,1)(3,3)(2,4)(1,4)(1,3)(1,3)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(2,1)(1,4)(1,4)(1,2)(1,2)(1,3)(1,4)(1,4)(1,3)(1,3)(1,1)(1,3)
(1,3)(1,1)(1,1)(1,1)(1,3)(1,2)(1,3)(1,3)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,3)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)(1,2)(1,2)(1,4)(1,3)(1,3)(1,4)(1,5)(1,4)(1,3)(1,2)(1,2)(1,3)(1,4)(1,3)(1,2)
(1,2)(1,3)(1,4)(1,4)(1,4)(1,2)(1,2)(1,3)(1,2)(1,2)(1,3)(1,4)(1,5)(1,5)(1,5)(1,3)(1,1)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,3)(1,2)(1,1)(1,2)(1,2)(1,4)(1,4)(1,3)(1,3)(4,3)(4,2)(2,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,3)
(1,3)(1,3)(1,4)(1,3)(1,1)(1,2)(1,3)(2,6)(3,6)(2,5)(1,5)(1,4)(1,2)(1,3)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,2)(1,3)(1,3)(1,1)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,3)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)
(1,2)(1,1)(1,2)(1,3)(1,3)(1,2)(1,2)(1,3)(1,5)(1,5)(1,6)(1,6)(1,4)(1,4)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,3)
(1,3)(1,3)(1,3)(1,2)(1,3)(1,4)(1,4)(1,4)(1,2)(1,3)(1,4)(1,5)(1,3)(1,5)(2,6)(2,6)(2,6)(1,5)(1,3)(1,1)(1,1)
(1,1)(1,1)(1,4)(1,7)(4,9)(3,9)(1,8)(1,5)(1,3)(1,3)(1,5)(1,4)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,3)(1,1)(1,2)(1,3)(1,2)(1,2)(1,3)(1,3)(2,3)(5,4)(3,7)(1,7)(1,5)(1,3)(1,1)(1,4)(1,6)(1,9)(10,8)
(10,8)(1,7)(1,6)(1,4)(1,3)(1,2)(1,3)(1,2)(1,1)(1,2)(1,2)(1,1)(1,2)(1,3)(1,4)(1,3)(1,2)(1,2)(1,3)(1,3)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,2)(1,2)(1,2)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,3)
(1,3)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,3)(1,2)(1,2)(1,3)(1,2)(1,3)(1,4)(1,4)(1,4)(1,2)(1,2)
(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,4)(1,5)(1,6)(1,7)(1,7)(5,6)(4,8)(1,5)
(1,5)(1,2)(1,3)(1,3)(1,3)(2,3)(2,2)(1,1)(1,2)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,1)(1,3)(2,5)(5,7)(2,6)(1,6)
(1,6)(1,4)(1,5)(1,4)(1,3)(1,2)(1,2)(1,3)(1,3)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,3)(1,3)(1,3)
__________________________________________________________________________________________
[Mourad\145\Firm\Closed\BDS01740.txt]
1200 samples
60 Markov chains

